사업명,No,집행차수,재원구분,지출일자,과제/사업단명,비목,보조비목,보조세목,지출액,지출처/적요,지급상태,비고
미래형 광주 커뮤니티 아카데미 운영,1,1차년도,당해 배정액,2026-08-07,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,14340000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,2,1차년도,당해 배정액,2026-08-07,앵커사업단,인건비,인건비(보수),보수,36334190,,지급완료,
대학 자원 공유 커뮤니버시티 운영,3,1차년도,당해 배정액,2026-08-07,앵커사업단,인건비,운영비(복리후생비),복리후생비,3540030,,지급완료,
대학 자원 공유 커뮤니버시티 운영,4,1차년도,당해 배정액,2026-08-07,앵커사업단,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,9630000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,5,1차년도,당해 배정액,2026-08-07,앵커사업단,교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,59270,,지급완료,
대학 자원 공유 커뮤니버시티 운영,6,1차년도,당해 배정액,2026-08-07,앵커사업단,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,1800000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,7,1차년도,당해 배정액,2026-08-07,앵커사업단,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,19950000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,8,1차년도,당해 배정액,2026-08-07,앵커사업단,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,120000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,9,1차년도,당해 배정액,2026-08-07,앵커사업단,교육 연구 환경개선비,운영비(일반용역비),일반용역비,50000000,커뮤니버시티 관리시스템 구축 용역,지급완료,
대학 자원 공유 커뮤니버시티 운영,10,1차년도,당해 배정액,2026-08-07,앵커사업단,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,9804650,,지급완료,
대학 자원 공유 커뮤니버시티 운영,11,1차년도,당해 배정액,2026-08-07,앵커사업단,그 밖의 사업운영 경비,운영비(일반수용비),일반수용비,4417500,,지급완료,
대학 자원 공유 커뮤니버시티 운영,12,1차년도,당해 배정액,2026-08-07,앵커사업단,그 밖의 사업운영 경비,여비(국내여비),국내여비,1550830,,지급완료,
대학 자원 공유 커뮤니버시티 운영,13,1차년도,당해 배정액,2026-08-07,앵커사업단,간접비,간접비,간접비,13200000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,15,1차년도,당해 배정액,2026-08-07,앵커사업단,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,43716,무월마을 여비(이태수/조수연),지급완료,
대학 자원 공유 커뮤니버시티 운영,16,1차년도,당해 배정액,2026-08-07,농업실습교육원,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,4800000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,17,1차년도,당해 배정액,2026-08-07,농업실습교육원,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,5000000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,18,1차년도,당해 배정액,2026-08-07,농업실습교육원,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,200000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,19,1차년도,당해 배정액,2026-08-07,대외협력처,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,771900,,지급완료,
대학 자원 공유 커뮤니버시티 운영,20,1차년도,당해 배정액,2026-08-07,대외협력처,교육 연구 환경개선비,건설비(시설비),시설비,6517000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,21,1차년도,당해 배정액,2026-08-07,대외협력처,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,11939120,,지급완료,
대학 자원 공유 커뮤니버시티 운영,22,1차년도,당해 배정액,2026-08-10,박물관,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,7500000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,23,1차년도,당해 배정액,2026-08-10,박물관,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,20950000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,24,1차년도,당해 배정액,2026-08-10,박물관,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,50000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,25,1차년도,당해 배정액,2026-08-10,박물관,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,1000000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,26,1차년도,당해 배정액,2026-08-10,박물관,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,437450,,지급완료,
대학 자원 공유 커뮤니버시티 운영,27,1차년도,당해 배정액,2026-08-10,수의학과,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,10000000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,28,1차년도,당해 배정액,2026-08-10,생명과학기술학부,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,7245100,,지급완료,
대학 자원 공유 커뮤니버시티 운영,29,1차년도,당해 배정액,2026-08-10,생명과학기술학부,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,11707850,,지급완료,
대학 자원 공유 커뮤니버시티 운영,30,1차년도,당해 배정액,2026-08-10,정치외교학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,10970229,,지급완료,
대학 자원 공유 커뮤니버시티 운영,31,1차년도,당해 배정액,2026-08-10,정치외교학과,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,231100,,지급완료,
대학 자원 공유 커뮤니버시티 운영,32,1차년도,당해 배정액,2026-08-11,수의학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,5000000,,지급완료,
